"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 15 12:04:43 MSK 2026","Sun Feb 15 12:04:49 MSK 2026","6019","","ExitUserTest","","ExitUserTest","userCanLogoutSuccessfullyTest","Проверить выход по кнопке «Выйти» в личном кабинете.","Проверка выхода из аккаунта через Личный кабинет"
"passed","Sun Feb 15 12:05:07 MSK 2026","Sun Feb 15 12:05:11 MSK 2026","4511","","PersonalAccountNavigationTest","","PersonalAccountNavigationTest","userCanOpenPersonalAccountTest","Переход по клику на Личный кабинет.","Проверка перехода в личный кабинет по клику на 'Личный кабинет'"
"passed","Sun Feb 15 12:04:25 MSK 2026","Sun Feb 15 12:04:36 MSK 2026","10730","","ConstructorTest","","ConstructorTest","userCanNavigateToConstructorViaButtonTest","Проверь переход по клику на «Конструктор»","Проверка перехода в конструктор по кнопке 'Конструктор' в личном кабинете"
"passed","Sun Feb 15 12:04:55 MSK 2026","Sun Feb 15 12:04:59 MSK 2026","4140","","LoginUserTest","","LoginUserTest","loginPersonalAccountTest","Вход в ЛК через кнопку «Личный кабинет»","Проверка входа через кнопку 'Личный кабинет' на главной странице"
"passed","Sun Feb 15 12:04:20 MSK 2026","Sun Feb 15 12:04:25 MSK 2026","4655","","ConstructorTabTest","","ConstructorTabTest","userCanSwitchToBunTabTest","Переход к разделу Булки","Проверка, что при клике на 'Булки' открывается соответствующая вкладка"
"passed","Sun Feb 15 12:04:36 MSK 2026","Sun Feb 15 12:04:43 MSK 2026","6957","","ConstructorTest","","ConstructorTest","userCanNavigateToConstructorViaLogoTest","Проверка перехода в конструктор по клику на логотип 'Stellar Burgers'","Проверка перехода в конструктор по клику на логотип 'Stellar Burgers' в личном кабинете"
"passed","Sun Feb 15 12:05:11 MSK 2026","Sun Feb 15 12:05:14 MSK 2026","2723","","RegistrationTest","","RegistrationTest","userCannotRegisterWithShortPasswordTest","Неуспешная регистрация при некорректном пароле","Проверка ошибки при регистрации с паролем короче 6 символов"
"passed","Sun Feb 15 12:04:01 MSK 2026","Sun Feb 15 12:04:16 MSK 2026","15290","","ConstructorTabTest","","ConstructorTabTest","userCanSwitchToSauceTabTest","Переход к разделу Соусы","Проверка, что при клике на 'Соусы' открывается соответствующая вкладка"
"passed","Sun Feb 15 12:05:14 MSK 2026","Sun Feb 15 12:05:18 MSK 2026","3713","","RegistrationTest","","RegistrationTest","RegisterSuccessfullyTest","Успешная регистрастрация с валидными данными","Проверка успешной регистрации пользователя с валидными данными"
"passed","Sun Feb 15 12:04:59 MSK 2026","Sun Feb 15 12:05:03 MSK 2026","4051","","LoginUserTest","","LoginUserTest","loginMainPageTest","Вход в ЛК по кнопке «Войти в аккаунт» на главной странице","Проверка входа через кнопку 'Войти в аккаунт' на главной странице"
"passed","Sun Feb 15 12:05:03 MSK 2026","Sun Feb 15 12:05:07 MSK 2026","4011","","LoginUserTest","","LoginUserTest","loginRegistrationFormTest","Вход в ЛК через кнопку в форме регистрации","Проверка входа по ссылке из формы регистрации"
"passed","Sun Feb 15 12:04:16 MSK 2026","Sun Feb 15 12:04:20 MSK 2026","3697","","ConstructorTabTest","","ConstructorTabTest","userCanSwitchToFillingTabTest","Переход к разделу Начики","Проверка, что при клике на 'Начинки' открывается соответствующая вкладка"
"passed","Sun Feb 15 12:04:49 MSK 2026","Sun Feb 15 12:04:55 MSK 2026","6049","","LoginUserTest","","LoginUserTest","loginForgotPasswordTest","Вход в ЛК через кнопку в форме восстановления пароля","Проверка входа по ссылке из формы восстановления пароля"
